time,pm2_5,nitrogen_dioxide,carbon_monoxide,temperature_2m,relative_humidity_2m,wind_speed_10m,precipitation,surface_pressure,boundary_layer_height
2025-08-01T00:00:00,15.3,18.6,200.0,20.9,72,4.8,0.0,997.2,155.0
2025-08-01T01:00:00,16.1,16.7,193.0,20.6,72,5.6,0.0,996.6,125.0
2025-08-01T02:00:00,18.5,16.6,192.0,20.0,79,4.1,0.0,996.3,85.0
2025-08-01T03:00:00,19.4,18.1,203.0,19.5,83,7.7,0.0,996.6,170.0
2025-08-01T04:00:00,19.6,19.5,219.0,18.7,88,5.5,0.0,996.4,145.0
2025-08-01T05:00:00,18.9,17.9,219.0,18.7,87,5.6,0.0,996.5,220.0
2025-08-01T06:00:00,14.1,22.3,225.0,19.4,81,7.0,0.0,997.1,350.0
2025-08-01T07:00:00,10.9,23.1,220.0,20.6,73,8.4,0.0,997.3,560.0
2025-08-01T08:00:00,12.7,17.5,208.0,21.3,69,8.1,0.0,997.5,615.0
2025-08-01T09:00:00,12.9,10.9,196.0,22.1,67,8.0,0.0,997.3,700.0
2025-08-01T10:00:00,12.3,7.9,192.0,23.1,64,5.9,0.0,997.0,715.0
2025-08-01T11:00:00,10.6,6.3,192.0,24.2,61,3.1,0.0,996.5,825.0
2025-08-01T12:00:00,10.4,5.4,188.0,24.9,58,4.8,0.0,995.8,895.0
2025-08-01T13:00:00,10.9,4.9,185.0,25.0,63,3.2,0.0,995.0,755.0
2025-08-01T14:00:00,9.6,5.1,184.0,25.5,61,4.9,0.1,994.5,810.0
2025-08-01T15:00:00,10.9,6.8,184.0,25.4,60,5.6,0.0,994.2,660.0
2025-08-01T16:00:00,11.4,9.0,189.0,24.9,63,4.9,0.0,993.7,395.0
2025-08-01T17:00:00,10.0,13.0,198.0,24.4,65,0.9,0.0,993.5,445.0
2025-08-01T18:00:00,12.1,16.8,214.0,23.6,69,3.6,0.7,993.6,100.0
2025-08-01T19:00:00,12.7,23.0,221.0,22.7,81,1.7,0.0,993.6,25.0
2025-08-01T20:00:00,12.9,27.8,228.0,21.5,80,0.8,1.1,994.0,15.0
2025-08-01T21:00:00,13.0,22.5,221.0,18.9,92,3.4,7.5,995.1,85.0
2025-08-01T22:00:00,12.0,17.4,212.0,19.0,87,14.8,0.3,994.9,290.0
2025-08-01T23:00:00,9.8,14.8,208.0,18.3,86,6.2,0.0,994.4,180.0
2025-08-02T00:00:00,8.1,12.3,202.0,18.2,90,3.7,0.1,994.3,160.0
2025-08-02T01:00:00,8.4,9.3,201.0,18.3,94,7.7,3.8,993.9,255.0
2025-08-02T02:00:00,6.2,6.8,188.0,18.4,94,9.2,0.7,993.2,465.0
2025-08-02T03:00:00,7.4,4.8,186.0,18.0,94,4.0,0.1,993.1,365.0
2025-08-02T04:00:00,6.3,6.1,183.0,17.8,95,9.6,1.8,992.6,305.0
2025-08-02T05:00:00,5.4,6.9,182.0,17.6,95,6.2,0.1,992.7,275.0
2025-08-02T06:00:00,6.0,10.0,191.0,17.8,95,6.7,0.3,992.8,305.0
2025-08-02T07:00:00,6.2,11.5,191.0,18.4,91,8.1,0.3,992.8,415.0
2025-08-02T08:00:00,5.4,11.3,191.0,18.3,89,8.4,1.9,992.7,375.0
2025-08-02T09:00:00,4.2,10.0,186.0,18.9,85,11.5,0.8,993.0,390.0
2025-08-02T10:00:00,3.8,7.6,182.0,19.9,81,6.6,0.4,992.8,470.0
2025-08-02T11:00:00,3.4,6.1,181.0,21.9,71,4.9,0.2,992.4,615.0
2025-08-02T12:00:00,3.8,3.9,179.0,22.7,68,3.7,0.1,992.4,785.0
2025-08-02T13:00:00,3.4,2.9,179.0,22.8,70,7.0,0.0,992.3,730.0
2025-08-02T14:00:00,3.5,3.1,182.0,23.5,66,4.4,0.0,992.1,655.0
2025-08-02T15:00:00,3.9,3.4,185.0,23.5,66,0.3,0.0,992.3,685.0
2025-08-02T16:00:00,4.4,5.3,185.0,23.9,64,2.0,0.0,992.2,785.0
2025-08-02T17:00:00,5.0,8.4,189.0,23.8,64,2.8,0.0,992.3,875.0
2025-08-02T18:00:00,4.9,10.1,182.0,22.7,74,3.4,0.0,992.5,215.0
